Ev(kJ/mol),Rv(A),x,y,z,Framework,Adsorbate,Accuracy
-20.922297115210764,2.310,2.04,8.432,17.478,AMIMEP_clean,Xe,S50
-13.294986262533834,3.039,1.829,8.651,16.396,AMIMEP_clean,Xe,S50
-20.795105692170782,2.333,2.037,8.441,17.444,AMIMEP_clean,Xe,S50
-18.52121794539584,2.205,1.663,7.812,16.878,AMIMEP_clean,Xe,S50
-18.23513000044312,1.990,1.903,8.014,17.501,AMIMEP_clean,Xe,S50
-18.544239870615037,2.238,1.671,7.844,16.858,AMIMEP_clean,Xe,S50
-15.054468294054454,2.281,-0.584,8.347,16.499,AMIMEP_clean,Xe,S50
-22.597197922633196,2.390,3.861,8.814,17.531,AMIMEP_clean,Xe,S50
-22.456410055009126,2.436,3.647,8.819,17.546,AMIMEP_clean,Xe,S50
-22.910314419514794,2.295,3.562,8.688,17.659,AMIMEP_clean,Xe,S50
-21.403998664228368,2.609,3.859,8.994,17.393,AMIMEP_clean,Xe,S50
-20.476692677949025,2.213,5.32,8.374,16.985,AMIMEP_clean,Xe,S50
-20.891032158378263,2.428,4.382,8.791,17.202,AMIMEP_clean,Xe,S50
-21.12612286506037,2.559,4.03,8.943,17.319,AMIMEP_clean,Xe,S50
-20.134317031160634,2.313,5.535,8.32,16.81,AMIMEP_clean,Xe,S50
-20.490550206289306,2.178,5.884,8.174,16.904,AMIMEP_clean,Xe,S50
-7.740037638891574,4.097,1.808,9.236,15.356,AMIMEP_clean,Xe,S50
-16.267534915546317,2.375,-1.103,8.731,16.684,AMIMEP_clean,Xe,S50
-12.66222178907299,2.927,-0.827,8.906,16.077,AMIMEP_clean,Xe,S50
-8.095563633368561,3.660,-0.293,9.061,15.288,AMIMEP_clean,Xe,S50
-19.071095994925237,2.829,0.722,10.167,17.401,AMIMEP_clean,Xe,S50
-15.167287084444663,3.098,1.496,9.817,16.96,AMIMEP_clean,Xe,S50
-10.517984820163598,3.238,-0.665,9.017,15.758,AMIMEP_clean,Xe,S50
-17.86931251730509,2.893,1.244,9.972,17.312,AMIMEP_clean,Xe,S50
-6.535004841773773,4.362,1.319,9.424,14.937,AMIMEP_clean,Xe,S50
-21.765118786161107,2.110,-0.134,10.065,18.482,AMIMEP_clean,Xe,S50
-7.478138779745351,4.199,1.824,9.315,15.279,AMIMEP_clean,Xe,S50
-7.2676216589152824,4.240,1.775,9.317,15.207,AMIMEP_clean,Xe,S50
-11.498947748855496,3.407,0.846,9.903,16.282,AMIMEP_clean,Xe,S50
-10.57606821455546,3.709,2.12,9.399,16.131,AMIMEP_clean,Xe,S50
