Ev(kJ/mol),Rv(A),x,y,z
-4.025582742042993,4.539,11.513,16.327,1.256
-10.420085148895636,2.268,14.0,15.234,1.251
-10.202135896233784,2.062,14.152,15.194,1.0
-4.499320744824225,4.515,2.324,1.345,0.946
-4.591958083539711,4.475,2.375,1.366,0.957
-7.868281753480969,2.917,3.891,1.215,0.411
-10.311418263467163,2.539,4.388,1.262,0.876
-2.805630121281224,6.587,9.332,5.38,15.202
-7.382044726625091,3.050,3.757,1.221,0.411
-4.183108345736622,4.512,2.258,1.289,0.41
-3.786352999403042,5.087,11.056,15.118,1.345
-2.813614222066129,6.442,9.488,5.467,15.097
-4.5573071211076135,4.494,2.354,1.357,0.96
-3.7515989022792207,4.978,11.132,15.079,1.118
-4.11525722893458,4.555,2.209,1.27,0.401
-3.7735143727694647,4.859,11.213,15.647,1.342
-3.7921010583088273,5.098,11.049,15.122,1.368
-3.80169671552145,5.100,11.036,15.142,1.403
-4.287333396383782,4.603,2.213,1.282,0.899
-4.416633623943112,4.526,2.299,1.331,0.862
-3.7530948893408285,5.140,11.0,15.15,1.365
-4.311973210950725,4.492,2.298,1.025,1.045
-2.8065999476200063,6.540,9.376,5.404,15.165
-3.3027819672338667,5.455,10.583,15.408,1.035
-2.9761649851681207,5.849,10.117,15.671,0.65
-3.9077032931641393,4.631,25.833,6.591,14.877
-4.729622666824826,3.990,25.152,15.117,0.835
-4.783137368191146,4.409,16.172,1.41,0.997
-3.7172382020311114,5.091,26.221,15.144,1.243
-4.167942626322601,4.495,16.368,1.303,0.271
-3.876021360820978,4.653,25.861,16.224,1.248
-4.673039790736669,4.443,16.22,1.39,0.984
-5.801132142923719,3.856,15.599,1.384,0.986
-3.9931814726998,4.624,25.782,6.473,14.306
-5.126235607906676,3.795,24.938,15.653,1.298
-3.9128048458168427,4.637,25.838,16.146,1.281
-6.279475264519919,3.534,15.316,1.13,1.034
-10.358226807312134,2.273,14.081,1.203,0.262
-3.796330971936149,4.887,26.037,6.459,14.203
-3.824002445044871,4.809,25.974,6.494,14.337
-3.704181569931014,5.025,26.17,6.392,14.09
-4.852979237487477,4.362,16.123,1.392,1.022
-3.8690544621068317,4.693,25.881,6.552,14.615
-3.868375655819082,4.667,25.872,16.154,1.265
-3.8508807800089797,4.793,25.957,15.665,1.362
-3.8010829341739534,4.982,26.106,15.332,1.391
-4.049637015060406,4.528,25.73,16.473,1.224
-3.731470125916861,4.974,26.121,6.422,14.136
-3.738836076217902,4.912,26.078,6.449,14.275
-2.8591190196459486,6.157,27.477,5.646,14.833
-3.160318076059421,5.441,36.026,20.813,14.714
-3.6879647265189233,5.183,26.308,15.193,1.323
-3.768627575772488,5.027,26.152,15.305,1.38
-3.697681197734006,4.859,26.054,15.05,0.681
-3.351083383124407,5.415,26.615,6.134,14.142
-3.200891261954702,5.363,35.945,20.766,14.742
-2.8244941458803963,6.327,18.348,0.171,0.111
-3.02984684040937,5.736,27.009,15.599,0.765
-2.80559708169873,6.593,27.931,5.379,15.2
-22.56371898441766,2.106,6.041,3.505,2.473
-19.261562018862882,2.033,6.1,3.187,2.243
-21.632043348677872,2.180,5.64,3.455,2.23
-22.518387582212377,2.254,5.727,3.311,2.33
-22.249708215530003,2.008,6.319,3.667,2.592
-20.75035143549726,2.128,5.639,3.523,2.177
-18.572544849228187,2.016,5.733,3.683,2.178
-21.20567949514969,2.150,5.663,3.512,2.227
-4.191209239141861,4.506,1.886,1.528,1.029
-4.153658910645865,4.558,1.91,1.459,1.02
-4.503715584553778,4.358,18.968,2.691,1.346
-3.8615788147170695,4.725,19.387,1.908,1.338
-3.744359181116213,4.831,28.134,7.464,14.368
-6.503942696256849,3.211,20.133,3.269,1.276
-4.1214133196627225,4.565,1.857,1.475,1.031
-3.9173819141599076,4.933,18.642,2.187,1.323
-4.298417902133524,4.586,18.868,2.5,1.448
-3.8356045166044197,4.678,18.623,2.37,0.334
-5.301313916051987,3.872,19.276,3.111,1.408
-3.9451173150205343,5.002,18.642,2.137,1.469
-2.8155073452138217,6.430,18.623,0.209,0.139
-3.795096610764803,5.116,18.631,1.976,1.406
-3.8714570938132917,5.039,18.683,2.052,1.458
-3.8617890541241304,4.662,19.717,1.763,1.244
-3.9577770700999397,4.603,27.936,7.843,15.088
-4.225801934009075,4.546,27.945,7.965,14.582
-3.8114842436802148,4.858,27.948,7.567,14.444
-2.8562487584772622,6.073,27.942,6.006,14.995
